[Byte Buddy] IGNORE java.util.NavigableMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.NavigableMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.SortedMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.SortedMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.SortedMap [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.strategy.StrategyFactory [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.strategy.StrategyFactory [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.strategy.StrategyFactory [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.strategy.Strategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.strategy.Strategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.strategy.Strategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.strategy.SelfFirstStrategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.strategy.SelfFirstStrategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.strategy.SelfFirstStrategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.strategy.AbstractStrategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.strategy.AbstractStrategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.strategy.AbstractStrategy [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.launcher.ConfigurationParser$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.launcher.ConfigurationParser$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.launcher.ConfigurationParser$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.FileInputStream$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.FileInputStream$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.FileInputStream$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY org.codehaus.plexus.classworlds.launcher.Configurator$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE org.codehaus.plexus.classworlds.launcher.Configurator$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE org.codehaus.plexus.classworlds.launcher.Configurator$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@2c13da15, unnamed module @2892d68, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.Arrays$LegacyMergeSort [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.Arrays$LegacyMergeSort [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.Arrays$LegacyMergeSort [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.TimSort [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.TimSort [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.TimSort [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.TreeMap$KeySet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.TreeMap$KeySet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.TreeMap$KeySet [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.TreeMap$KeyIterator [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.TreeMap$KeyIterator [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.TreeMap$KeyIterator [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.util.TreeMap$PrivateEntryIterator [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.util.TreeMap$PrivateEntryIterator [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.util.TreeMap$PrivateEntryIterator [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.net.URLClassLoader$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.net.URLClassLoader$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.net.URLClassLoader$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY jdk.internal.loader.URLClassPath$FileLoader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE jdk.internal.loader.URLClassPath$FileLoader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE jdk.internal.loader.URLClassPath$FileLoader [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.FilePermission [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.FilePermission [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.FilePermission [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.FilePermission$1 [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.FilePermission$1 [null, module java.base, Thread[main,5,main], loaded=false]
